country,year,remittances_usd,remittances_share_of_gdp_pct,net_aid_usd,net_aid_share_of_gni_pct,remittances_source,aid_source
Comoros,2008,101325440.0,11.07,42042603.0,4.6,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2009,100407533.0,11.09,50783684.0,5.62,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2010,87252087.0,9.61,47490002.0,5.24,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2011,108173891.0,10.57,55348549.0,5.41,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2012,110203511.0,10.85,101614075.0,10.02,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2013,124419343.0,11.15,81225487.0,7.28,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2014,159817450.0,13.9,74949173.0,6.49,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2015,131866003.0,13.65,65828568.0,6.78,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2016,116745530.0,11.53,53743576.0,5.28,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2017,131598332.0,12.21,67219032.0,6.21,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2018,172620210.0,14.52,90929016.0,7.61,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2019,168546820.0,14.1,74461159.0,6.2,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2020,226655758.0,18.5,133506927.0,10.85,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2021,287990718.0,22.17,156269882.0,11.97,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2022,281839151.0,22.03,138987289.0,10.81,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2023,305575361.0,20.84,166350937.0,11.29,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
